pair	IBD1_len	IBD2_len	R1	R2	Num_Segs	Total_len	target1	target2	real_kinship	kinship	kinship_considered_hs
[16-1_vs_48-1]	50.485016	0	1.0	0.0	4	50.485016	unrelated	unrelated	UN	UN	UN
[16-1_vs_48-2]	50.485016	0	1.0	0.0	4	50.485016	unrelated	unrelated		UN	UN
[16-1_vs_49-1]	17.184004	0	1.0	0.0	2	17.184004	unrelated	unrelated	UN	UN	UN
[16-1_vs_49-2]	16.214807999999998	0	1.0	0.0	2	16.214807999999998	unrelated	unrelated		UN	UN
[16-2_vs_17-1]	169.078618	0	1.0	0.0	16	169.078618	unrelated	unrelated		UN	UN
[16-2_vs_17-2]	162.612302	0	1.0	0.0	15	162.612302	unrelated	unrelated		UN	UN
[16-2_vs_18-1]	89.32274	0	1.0	0.0	11	89.32274	unrelated	unrelated		UN	UN
[16-2_vs_18-2]	93.749311	0	1.0	0.0	12	93.749311	unrelated	unrelated		UN	UN
[16-2_vs_19-1]	338.315557	0	1.0	0.0	29	338.315557	unrelated	unrelated		UN	UN
[16-2_vs_19-2]	316.805659	0	1.0	0.0	29	316.805659	unrelated	unrelated		UN	UN
[16-2_vs_20-1]	195.543856	0	1.0	0.0	21	195.543856	unrelated	unrelated		UN	UN
[16-2_vs_20-2]	197.35561	0	1.0	0.0	21	197.35561	unrelated	unrelated		UN	UN
[16-2_vs_21-1]	182.388774	0	1.0	0.0	19	182.388774	unrelated	unrelated		UN	UN
[16-2_vs_21-2]	163.839877	0	1.0	0.0	16	163.839877	unrelated	unrelated		UN	UN
[16-2_vs_22-1]	266.186247	0	1.0	0.0	25	266.186247	unrelated	unrelated		UN	UN
[16-2_vs_22-2]	297.380314	0	1.0	0.0	28	297.380314	unrelated	unrelated		UN	UN
[16-2_vs_22-650-1-blood]	18.369934	0	1.0	0.0	3	18.369934	unrelated	unrelated		UN	UN
[16-2_vs_22-650-2-blood]	24.641306	0	1.0	0.0	2	24.641306	unrelated	unrelated		UN	UN
[16-2_vs_23-1]	326.147866	0	1.0	0.0	25	326.147866	unrelated	unrelated		UN	UN
[16-2_vs_23-2]	354.46632	0	1.0	0.0	29	354.46632	unrelated	unrelated		UN	UN
[16-2_vs_24-1]	239.419633	0	1.0	0.0	19	239.419633	unrelated	unrelated		UN	UN
[16-2_vs_24-2]	215.907654	0	1.0	0.0	16	215.907654	unrelated	unrelated		UN	UN
[16-2_vs_25-1]	217.626646	0	1.0	0.0	17	217.626646	unrelated	unrelated		UN	UN
[16-2_vs_25-2]	192.274474	0	1.0	0.0	14	192.274474	unrelated	unrelated		UN	UN
[16-2_vs_26-1]	129.800772	0	1.0	0.0	12	129.800772	unrelated	unrelated		UN	UN
[16-2_vs_27-1]	83.823071	0	1.0	0.0	9	83.823071	unrelated	unrelated		UN	UN
[16-2_vs_28-1]	102.749111	0	1.0	0.0	12	102.749111	unrelated	unrelated		UN	UN
[16-2_vs_29-1]	33.910627000000005	0	1.0	0.0	2	33.910627000000005	unrelated	unrelated		UN	UN
[16-2_vs_29-2]	42.014051	0	1.0	0.0	3	42.014051	unrelated	unrelated		UN	UN
[16-2_vs_30-1]	42.160652	0	1.0	0.0	3	42.160652	unrelated	unrelated		UN	UN
[16-2_vs_30-2]	35.238838	0	1.0	0.0	2	35.238838	unrelated	unrelated		UN	UN
[16-2_vs_31-1]	15.342361	0	1.0	0.0	2	15.342361	unrelated	unrelated		UN	UN
[16-2_vs_31-2]	15.342361	0	1.0	0.0	2	15.342361	unrelated	unrelated		UN	UN
[16-2_vs_32-2]	25.213589	0	1.0	0.0	2	25.213589	unrelated	unrelated		UN	UN
[16-2_vs_33-1]	8.377472	0	1.0	0.0	1	8.377472	unrelated	unrelated		UN	UN
[16-2_vs_33-2]	35.777588	0	1.0	0.0	2	35.777588	unrelated	unrelated		UN	UN
[16-2_vs_34-2]	20.777177	0	1.0	0.0	3	20.777177	unrelated	unrelated		UN	UN
[16-2_vs_35-2]	26.993649	0	1.0	0.0	2	26.993649	unrelated	unrelated		UN	UN
[16-2_vs_36-2]	26.804569	0	1.0	0.0	3	26.804569	unrelated	unrelated		UN	UN
[16-2_vs_37-1]	9.400795	0	1.0	0.0	1	9.400795	unrelated	unrelated		UN	UN
[16-2_vs_37-2]	56.051323	0	1.0	0.0	3	56.051323	unrelated	unrelated		UN	UN
[16-2_vs_38-1]	37.197453	0	1.0	0.0	2	37.197453	unrelated	unrelated		UN	UN
[16-2_vs_38-2]	43.578679	0	1.0	0.0	3	43.578679	unrelated	unrelated		UN	UN
[16-2_vs_39-2]	8.103424	0	1.0	0.0	1	8.103424	unrelated	unrelated		UN	UN
[16-2_vs_40-1]	30.883792	0	1.0	0.0	2	30.883792	unrelated	unrelated		UN	UN
