pair	IBD1_len	IBD2_len	R1	R2	Num_Segs	Total_len	target1	target2	real_kinship	kinship	kinship_considered_hs
[6-1_vs_33-2]	102.298454	0	1.0	0.0	26	102.298454	unrelated	unrelated		UN	UN
[6-1_vs_34-1]	14.155374	0	1.0	0.0	7	14.155374	unrelated	unrelated	UN	UN	UN
[6-1_vs_34-2]	53.379137	0	1.0	0.0	21	53.379137	unrelated	unrelated		UN	UN
[6-1_vs_35-2]	48.224162	0	1.0	0.0	17	48.224162	unrelated	unrelated		UN	UN
[6-1_vs_36-1]	1.081161	0	1.0	0.0	1	1.081161	unrelated	unrelated	UN	UN	UN
[6-1_vs_36-2]	38.607259	0	1.0	0.0	17	38.607259	unrelated	unrelated		UN	UN
[6-1_vs_37-1]	23.048076	0	1.0	0.0	6	23.048076	unrelated	unrelated	UN	UN	UN
[6-1_vs_37-2]	51.364426	0	1.0	0.0	22	51.364426	unrelated	unrelated		UN	UN
[6-1_vs_38-1]	94.74594	0	1.0	0.0	24	94.74594	unrelated	unrelated	UN	UN	UN
[6-1_vs_38-2]	83.979808	0	1.0	0.0	22	83.979808	unrelated	unrelated		UN	UN
[6-1_vs_39-2]	60.178898	0	1.0	0.0	27	60.178898	unrelated	unrelated		UN	UN
[6-1_vs_40-1]	50.254796	0	1.0	0.0	13	50.254796	unrelated	unrelated		UN	UN
[6-1_vs_41-1]	67.84978	0	1.0	0.0	18	67.84978	unrelated	unrelated	UN	UN	UN
[6-1_vs_41-2]	72.035987	0	1.0	0.0	21	72.035987	unrelated	unrelated		UN	UN
[6-1_vs_42-1]	59.32913	0	1.0	0.0	22	59.32913	unrelated	unrelated	UN	UN	UN
[6-1_vs_42-2]	69.134127	0	1.0	0.0	23	69.134127	unrelated	unrelated		UN	UN
[6-1_vs_43-1]	96.002781	0	1.0	0.0	25	96.002781	unrelated	unrelated	UN	UN	UN
[6-1_vs_43-2]	78.23793599999999	0	1.0	0.0	22	78.23793599999999	unrelated	unrelated		UN	UN
[6-1_vs_44-1]	63.019103	0	1.0	0.0	21	63.019103	unrelated	unrelated	UN	UN	UN
[6-1_vs_44-2]	59.175651	0	1.0	0.0	21	59.175651	unrelated	unrelated		UN	UN
[6-1_vs_45-1]	70.170917	0	1.0	0.0	27	70.170917	unrelated	unrelated		UN	UN
[6-1_vs_46-1]	30.384492	0	1.0	0.0	13	30.384492	unrelated	unrelated	UN	UN	UN
[6-1_vs_46-2]	71.09567	0	1.0	0.0	35	71.09567	unrelated	unrelated		UN	UN
[6-1_vs_47-1]	55.120647000000005	0	1.0	0.0	24	55.120647000000005	unrelated	unrelated	UN	UN	UN
[6-1_vs_47-2]	56.093098000000005	0	1.0	0.0	25	56.093098000000005	unrelated	unrelated		UN	UN
[6-1_vs_48-1]	56.290309	0	1.0	0.0	22	56.290309	unrelated	unrelated	UN	UN	UN
[6-1_vs_48-2]	56.887799	0	1.0	0.0	20	56.887799	unrelated	unrelated		UN	UN
[6-1_vs_49-1]	61.557304	0	1.0	0.0	27	61.557304	unrelated	unrelated	UN	UN	UN
[6-1_vs_49-2]	43.330188	0	1.0	0.0	21	43.330188	unrelated	unrelated		UN	UN
[6-1_vs_6-2]	3127.459212	0	1.0	0.0	25	3127.459212	unrelated	unrelated		UN	UN
[6-1_vs_7-1]	180.100111	0	1.0	0.0	51	180.100111	12.5	F-C	C-3a(FC)	4	4
[6-1_vs_7-2]	184.22121	0	1.0	0.0	52	184.22121	unrelated	unrelated		UN	UN
[6-1_vs_8-1]	302.547364	0	1.0	0.0	74	302.547364	12.5	F-C	C-3a(FC)	4	4
[6-1_vs_8-2]	281.328115	0	1.0	0.0	70	281.328115	unrelated	unrelated		UN	UN
[6-1_vs_9-1]	258.808794	0	1.0	0.0	59	258.808794	12.5	F-C	C-3a(FC)	4	4
[6-1_vs_9-2]	265.726397	0	1.0	0.0	60	265.726397	unrelated	unrelated		UN	UN
[6-2_vs_10-1]	627.697445	0	1.0	0.0	132	627.697445	unrelated	unrelated		UN	UN
[6-2_vs_10-2]	629.535532	0	1.0	0.0	129	629.535532	unrelated	unrelated		UN	UN
[6-2_vs_11-2]	589.228441	0	1.0	0.0	144	589.228441	unrelated	unrelated		UN	UN
[6-2_vs_12-1]	237.954865	0	1.0	0.0	61	237.954865	unrelated	unrelated		UN	UN
[6-2_vs_12-2]	246.557958	0	1.0	0.0	64	246.557958	unrelated	unrelated		UN	UN
[6-2_vs_13-1]	202.437678	0	1.0	0.0	59	202.437678	unrelated	unrelated		UN	UN
[6-2_vs_13-2]	188.178646	0	1.0	0.0	57	188.178646	unrelated	unrelated		UN	UN
[6-2_vs_14-1]	209.831315	0	1.0	0.0	57	209.831315	unrelated	unrelated		UN	UN
[6-2_vs_14-2]	217.770597	0	1.0	0.0	59	217.770597	unrelated	unrelated		UN	UN
[6-2_vs_15-1]	956.042362	0	1.0	0.0	214	956.042362	unrelated	unrelated		UN	UN
[6-2_vs_15-2]	970.22019	0	1.0	0.0	216	970.22019	unrelated	unrelated		UN	UN
[6-2_vs_16-1]	997.618451	0	1.0	0.0	217	997.618451	unrelated	unrelated		UN	UN
[6-2_vs_16-2]	1021.894621	0	1.0	0.0	211	1021.894621	unrelated	unrelated		UN	UN
[6-2_vs_17-1]	479.788249	0	1.0	0.0	124	479.788249	unrelated	unrelated		UN	UN
[6-2_vs_17-2]	479.375355	0	1.0	0.0	128	479.375355	unrelated	unrelated		UN	UN
[6-2_vs_18-1]	473.470519	0	1.0	0.0	130	473.470519	unrelated	unrelated		UN	UN
[6-2_vs_18-2]	460.378708	0	1.0	0.0	126	460.378708	unrelated	unrelated		UN	UN
[6-2_vs_19-1]	955.344856	0	1.0	0.0	222	955.344856	unrelated	unrelated		UN	UN
[6-2_vs_19-2]	957.993521	0	1.0	0.0	218	957.993521	unrelated	unrelated		UN	UN
[6-2_vs_20-1]	754.373278	0	1.0	0.0	202	754.373278	unrelated	unrelated		UN	UN
[6-2_vs_20-2]	763.786734	0	1.0	0.0	198	763.786734	unrelated	unrelated		UN	UN
[6-2_vs_21-1]	906.315028	0	1.0	0.0	185	906.315028	unrelated	unrelated		UN	UN
[6-2_vs_21-2]	888.875381	0	1.0	0.0	182	888.875381	unrelated	unrelated		UN	UN
[6-2_vs_22-1]	907.197983	0	1.0	0.0	218	907.197983	unrelated	unrelated		UN	UN
[6-2_vs_22-2]	911.312356	0	1.0	0.0	219	911.312356	unrelated	unrelated		UN	UN
[6-2_vs_22-593-1-saliva]	1.341181	0	1.0	0.0	1	1.341181	unrelated	unrelated		UN	UN
[6-2_vs_22-593-2-saliva]	8.649389	0	1.0	0.0	5	8.649389	unrelated	unrelated		UN	UN
[6-2_vs_22-650-1-blood]	81.221198	0	1.0	0.0	28	81.221198	unrelated	unrelated		UN	UN
[6-2_vs_22-650-2-blood]	63.253275	0	1.0	0.0	19	63.253275	unrelated	unrelated		UN	UN
[6-2_vs_23-1]	1771.885927	0	1.0	0.0	439	1771.885927	unrelated	unrelated		UN	UN
[6-2_vs_23-2]	1815.976738	0	1.0	0.0	435	1815.976738	unrelated	unrelated		UN	UN
[6-2_vs_24-1]	1769.378081	0	1.0	0.0	412	1769.378081	unrelated	unrelated		UN	UN
[6-2_vs_24-2]	1754.836458	0	1.0	0.0	412	1754.836458	unrelated	unrelated		UN	UN
[6-2_vs_25-1]	1709.353809	0	1.0	0.0	399	1709.353809	unrelated	unrelated		UN	UN
[6-2_vs_25-2]	1712.211001	0	1.0	0.0	401	1712.211001	unrelated	unrelated		UN	UN
[6-2_vs_26-1]	488.330367	0	1.0	0.0	123	488.330367	unrelated	unrelated		UN	UN
[6-2_vs_27-1]	419.858886	0	1.0	0.0	115	419.858886	unrelated	unrelated		UN	UN
[6-2_vs_28-1]	581.552849	0	1.0	0.0	158	581.552849	unrelated	unrelated		UN	UN
[6-2_vs_29-1]	55.985333	0	1.0	0.0	26	55.985333	unrelated	unrelated		UN	UN
[6-2_vs_29-2]	61.757927	0	1.0	0.0	27	61.757927	unrelated	unrelated		UN	UN
[6-2_vs_30-1]	53.62813	0	1.0	0.0	23	53.62813	unrelated	unrelated		UN	UN
[6-2_vs_30-2]	54.431302	0	1.0	0.0	24	54.431302	unrelated	unrelated		UN	UN
[6-2_vs_31-1]	69.793325	0	1.0	0.0	24	69.793325	unrelated	unrelated		UN	UN
[6-2_vs_31-2]	81.467904	0	1.0	0.0	28	81.467904	unrelated	unrelated		UN	UN
[6-2_vs_32-2]	59.42096	0	1.0	0.0	18	59.42096	unrelated	unrelated		UN	UN
[6-2_vs_33-1]	75.003128	0	1.0	0.0	21	75.003128	unrelated	unrelated		UN	UN
[6-2_vs_33-2]	104.294257	0	1.0	0.0	27	104.294257	unrelated	unrelated		UN	UN
[6-2_vs_34-1]	18.838563	0	1.0	0.0	8	18.838563	unrelated	unrelated		UN	UN
[6-2_vs_34-2]	53.494226	0	1.0	0.0	21	53.494226	unrelated	unrelated		UN	UN
